"","Text","Data","screenName","retweetCount"
"1","@ArgDylanObrien_: La película Deepwater Horizon en la que participó Dylan (Caleb) está nominada a los Oscars por mejores efectos visuale…","2017-01-27 14:12:40","SUAREZ_PAJERA5",61
"2","@IngrahamAngle: GOOD NEWS KEEPS ROLLING IN: Iranian Film Actress Will Boycott Oscars Over Trump’s Visa Banhttps://t.co/DytqLXRw","2017-01-27 14:12:33","cr711711",1389
"3","@svaradarajan: Iranian actress Taraneh Alidoosti is boycotting the Oscars over Trump 'racist' visa ban https://t.co/zFHalPoDQ","2017-01-27 14:12:32","FatehRana1",12
"4","Iranian Actress to Boycott Oscars Over Trump’s 'Racist' Visa Ban https://t.co/dbWICDOzQ","2017-01-27 14:12:32","JimAbbey3",0
"5","@IngrahamAngle: GOOD NEWS KEEPS ROLLING IN: Iranian Film Actress Will Boycott Oscars Over Trump’s Visa Banhttps://t.co/DytqLXRw","2017-01-27 14:12:32","ericsuniverse",1389
"6","Are superheroes and sequels corrupting Pixar's soul? https://t.co/ZHTtDP","2017-01-27 14:12:29","twidevacc",0
"7","@wowow_movie: <U+C><U+F><U+ED><U+D>!<U+BC><U+DE><U+A><U+AB><U+C><U+DF><U+FC><U+CDE><U+><U+CDE><U+FF><U+D><U+F><U+>/(<U+>)<U+><U+D>:<U+B><U+><U+EC><U+AB><U+FD><U+AE><U+><U+><U+E><U+>!
<U+E><U+F><U+C><U+E><U+><U+B>:<U+B><U+><U+F><U+B><U+E><U+><U+><U+A><U+CA><U+><U+><U+E><U+>!
<U+E><U+C><U+><U+AD><U+CF><U+E><U+><U+B><U+E><U+D><U+><U+><U+A><U+D><U+><U+F><U+B>!<U+D>https://t.co/seVcrhMeik #wowow…","2017-01-27 14:12:23","NNMeisa",28
"8","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:12:18","SalAlFalasi",3835
"9","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/EADxwDtvPo https://t.co/afouHIlOT","2017-01-27 14:12:17","Indie_Film_News",0
"10","@flixgr: <U+> <U+><U+AC>f<U+BD><U+B> <U+C>at<U+B><U+B>a<U+C><U+AC><U+BA><U+B> <U+C>p<U+BF><U+C><U+AE>f<U+B>a <U+B><U+B>a <U+F>s<U+BA>a<U+C> <U+D>t<U+BF><U+BA><U+B>µa<U+BD>t<U+AD><U+C> <U+C><U+B><U+BA><U+C><U+BF><U+CD> <U+C><U+AE><U+BA><U+BF><U+C><U+C> µe t<U+BF> «. Miles» / <U+>e<U+AF>te ed<U+CE> t<U+B><U+BD> ta<U+B><U+BD><U+AF>a https://t.co/vtzBYJVj…","2017-01-27 14:12:16","BillIspan",4
"11","@SiddiquiNaveid: Great going.....https://t.co/cDqYvb","2017-01-27 14:12:10","humayusuf",1
"12","Apparently the Oscars are happening. And there have been 'nominations'? My thoughts https://t.co/nYKDeb","2017-01-27 14:12:10","studioexec1",0
"13","Are superheroes and sequels corrupting Pixar's soul? https://t.co/MNzHrE (Vía @Verge)","2017-01-27 14:12:02","fchuquillanqui",0
"14","@RebelForceRadio: ABC News has a piece on RFR's interview with Carrie Fisher and her request for an Oscars tribute. https://t.co/XmqCtgm…","2017-01-27 14:11:58","TheRealRothman",2
"15","@IngrahamAngle: GOOD NEWS KEEPS ROLLING IN: Iranian Film Actress Will Boycott Oscars Over Trump’s Visa Banhttps://t.co/DytqLXRw","2017-01-27 14:11:57","MichaleneGaines",1389
"16","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:11:46","JorgenRud",3835
"17","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:11:42","calibere",1962
"18","Pearl, cortometraje producido en #realidadvirtual nominado a los Oscars
https://t.co/hcjtiDpLzh","2017-01-27 14:11:35","InnovaeAR",0
"19","@LionMovie: #LionMovie is nominated for SIX #AcademyAwards, including BEST PICTURE! Congrats to everyone involved in the making of this…","2017-01-27 14:11:32","crickettragic33",351
"20","A Movie that is shown quite often on TV,But never gets Old.#Hollywood #movies #Oscars https://t.co/MSgAqR","2017-01-27 14:11:31","sigg20",0
"21","Me gustó un video de @YouTube https://t.co/RHKuhZcMCt Noticias - Marvel en los Oscars, Logan, Black Panther, Infinity War y mucho","2017-01-27 14:11:30","Darkanzero",0
"22","Kudoscourageous #TaranehAlidoost, Iranian actressboycotting the #Oscars in solidarity w/ #Muslims &amp;... https://t.co/mDDBDuuwi","2017-01-27 14:11:27","GolbargBashi",0
"23","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:11:20","KathyRsam123",7
"24","Great going.....https://t.co/cDqYvb","2017-01-27 14:11:19","SiddiquiNaveid",1
"25","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:11:19","Sergio_Serrano",1962
"26","Indiewire: OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/uEmTpjWi #film","2017-01-27 14:11:17","LightningMurphy",0
"27","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/kJUjBccf &lt;Touch me ;D https://t.co/YVncnWYga","2017-01-27 14:11:14","MoviesWorldONE",0
"28","@ChiTribEnt: Without ""Fences"" playwright August, it's inconceivable that the film ""Moonlight"" ever would have been made: https://t.co/F…","2017-01-27 14:11:11","saralabellesays",1
"29","OscarsLive-Action Shorts: Jane Birkin vs.… https://t.co/mQSCUOlHDi#music #radio #fscradio #fscradiorock #ff… https://t.co/DBfdLGEG","2017-01-27 14:11:10","musicbuzznewz",0
"30","Via FranceToday:

Film ‘Elle’ tops France’s César Award list amid #Polanski controversy https://t.co/WnuMyK #cinema #France France_e…","2017-01-27 14:11:10","FranceMediaG",0
"31","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/qEcpCYlB https://t.co/KoJeENd","2017-01-27 14:11:08","thatsmye",0
"32","Are superheroes and sequels corrupting Pixar's soul? https://t.co/fSDCVCqh","2017-01-27 14:11:07","Bethanieah60",0
"33","Yahoo Tech - Are superheroes and sequels corrupting Pixar's soul? https://t.co/ubfTZE","2017-01-27 14:11:07","ElephantTechno",0
"34","Film ‘Elle’ tops France’s César Award list amid #Polanski controversy https://t.co/tnUfKMqkGU #cinema #France… https://t.co/MYFSDZyI","2017-01-27 14:11:02","FranceToday",0
"35","Iranian Actress to Boycott Oscars Over Trump’s 'Racist' Visa Ban https://t.co/AdaojAE via @BreitbartNews","2017-01-27 14:11:01","RichardTrubacek",0
"36","#Comicbook Ryan Reynolds, Deadpool Deserved Oscars Nomination According To Jake Gyllenhaal. Read Blog: https://t.co/dAJutcJIcv","2017-01-27 14:10:54","_bbroadcasting",0
"37","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:10:52","Downey_m_utd14",1962
"38","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/cjQrkHsJ https://t.co/yWHORwsD","2017-01-27 14:10:39","jiaflixsite",0
"39","@GMA: WATCH: In unearthedinterview, Carrie Fisher says she wanted Harrison Ford to sing during her Oscars tribute: https://t.co/T…","2017-01-27 14:10:32","kaitlyn231",131
"40","@guardian: Iranian Oscar contender: I'll boycott awards over Trump's 'racist' visa ban https://t.co/TgVQAOuFlf","2017-01-27 14:10:28","Abdolmartin",72
"41","@twittrpoll: #OscarNoms Poll:
Are you willing to boycott Hollywood by not going to the movies?

#Oscars #Nominations","2017-01-27 14:10:28","duchess1201",347
"42","@twittrpoll: #OscarNoms Poll:
Are you willing to boycott Hollywood by not going to the movies?

#Oscars #Nominations","2017-01-27 14:10:26","LJR1106",347
"43","@AJEnglish: Iranian actress Taraneh Alidoosti boycotting Oscars over Trump visa ban https://t.co/kpPFoG https://t.co/kKqMmqTQl","2017-01-27 14:10:23","meliss_vb",151
"44","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/pyTBjJIS","2017-01-27 14:10:19","any_event_media",0
"45","@twittrpoll: #OscarNoms Poll:
Are you willing to boycott Hollywood by not going to the movies?

#Oscars #Nominations","2017-01-27 14:10:16","Stormy1998",347
"46","@stonenobrian: THE OSCARS TRAILER JUST SAVED MY LIFEhttps://t.co/kymCHsZr","2017-01-27 14:10:15","xnaaatix_12",92
"47","#Tweetmyfilms OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson… https://t.co/eOxGPeeu","2017-01-27 14:10:12","tweetmyfilms",0
"48","@JustinTrudeau: Congratulations @RyanGosling on your Academy Award nomination! #oscars","2017-01-27 14:10:09","dovemoonlight",351
"49","@CrystalJohnson: Denzel Washington is the only Black actor with two Oscars. This year he was nominated for the th time. 
#OscarNoms #O…","2017-01-27 14:10:06","FilmBrandsEX",208
"50","OscarsLive-Action Shorts: Jane Birkin vs. Six-Time Nominee Kim Magnusson https://t.co/bveSYElRi","2017-01-27 14:10:04","dot_film",0
"51","Showing in our cinema from today is HACKSAW RIDGE, up for a total ofOscars including one for Best Leading Actor,… https://t.co/pTZkUlexL","2017-01-27 14:10:01","TricycleTheatre",0
"52","This black woman produced a film that is nominated for six Oscars https://t.co/bHGurYxaS via @blackvoices","2017-01-27 14:09:59","ninabydesign44",0
"53","@THRGlobal: Iranian actress boycotting Oscars over Trump's visa ban https://t.co/HIQivemy https://t.co/CpkFJwTDe","2017-01-27 14:09:54","KarimDiaz",46
"54","@HuffingtonPost: One of Iran's biggest movie stars is boycotting the Oscars over Trump's visa ban https://t.co/zsdKyjtFxM https://t.co/n…","2017-01-27 14:09:52","queenkv",409
"55","Una actriz iraní no asistirá a los Óscar por las medidas «racistas» de Trump https://t.co/SrKMigjjv vía @abc_es","2017-01-27 14:09:50","isacaces",0
"56","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:09:50","giu_fonta",1962
"57","@demetrxxs: If they give La La Land best picture over Moonlight at the Oscars, ima be knuckin n buckin n ready to fight.","2017-01-27 14:09:48","HEIR_less",2
